date,horario,nick,classe,item,monster,mapa
2026-08-20,20/08 ás 15:53,DarkFury,Lutador,Defense Fragment (B),Sentinel_CBA,Battlefield of the Ancients
2026-08-20,20/08 ás 16:16,Tempest,Arqueira,Weapon Fragment (B),Elite Soldier_CBA,Battlefield of the Ancients
2026-08-20,20/08 ás 16:14,Secret,Shaman,Mirage,Undead Schemist_CBA,Battlefield of the Ancients
2026-08-20,20/08 ás 16:02,SrVittar,Atalanta,Defense Gem (Lv.2),Deranged Technician_CBA,Battlefield of the Ancients
2026-08-20,20/08 ás 16:21,Tempest,Arqueira,Inferna,Psycho Slayer_CBA,Battlefield of the Ancients
2026-08-20,20/08 ás 16:21,midnightpurple,Arqueira,Weapon Fragment (C),Undead Schemist_CBA,Battlefield of the Ancients
2026-08-20,20/08 ás 17:00,SrVittar,Atalanta,Mirage,Armed Invader_CBA,Battlefield of the Ancients
2026-08-20,20/08 ás 16:59,Tempest,Arqueira,Defense Fragment (B),Undead Engineer_CBA,Battlefield of the Ancients
2026-08-20,20/08 ás 16:54,Tempest,Arqueira,Weapon Fragment (A),Sentinel_CBA,Battlefield of the Ancients
2026-08-20,20/08 ás 16:39,Tempest,Arqueira,Weapon Fragment (B),Elite Soldier_CBA,Battlefield of the Ancients
2026-08-20,20/08 ás 17:28,midnightpurple,Arqueira,Mirage,Undead Engineer_CBA,Battlefield of the Ancients
2026-08-20,20/08 ás 17:27,SrVittar,Atalanta,Eternal Robe,Psycho Slayer_CBA,Battlefield of the Ancients
2026-08-20,20/08 ás 17:20,Secret,Shaman,Enigma,Elite Soldier_CBA,Battlefield of the Ancients
2026-08-20,20/08 ás 17:11,Tempest,Arqueira,Drop Gem (Lv.2),Deranged Technician_CBA,Battlefield of the Ancients
2026-08-20,20/08 ás 17:11,SrVittar,Atalanta,Defense Fragment (B),Psycho Slayer_CBA,Battlefield of the Ancients
2026-08-20,20/08 ás 17:06,midnightpurple,Arqueira,Weapon Fragment (A),Elite Soldier_CBA,Battlefield of the Ancients
2026-08-20,20/08 ás 17:39,Tempest,Arqueira,Defense Fragment (A),Armed Invader_CBA,Battlefield of the Ancients
2026-08-20,20/08 ás 18:18,DarkFury,Lutador,Defense Fragment (C),Psycho Slayer_CBA,Battlefield of the Ancients
2026-08-20,20/08 ás 18:16,SrVittar,Atalanta,Extreme Sword,Elite Soldier_CBA,Battlefield of the Ancients
2026-08-20,20/08 ás 18:15,SrVittar,Atalanta,Weapon Fragment (B),Armed Invader_CBA,Battlefield of the Ancients
2026-08-20,20/08 ás 18:05,Secret,Shaman,Mirage,Armed Invader_CBA,Battlefield of the Ancients
2026-08-20,20/08 ás 19:25,Secret,Shaman,Attack Power Gem (Lv.2),Corrupted Rat,Valley of Tranquility
2026-08-20,20/08 ás 19:15,DarkFury,Lutador,Devilian Dagger,Elite Soldier_CBA,Battlefield of the Ancients
2026-08-20,20/08 ás 20:15,SrVittar,Atalanta,Weapon Fragment (B),Elite Soldier_CBA,Battlefield of the Ancients
2026-08-20,20/08 ás 20:12,DarkFury,Lutador,Weapon Fragment (A),Armed Invader_CBA,Battlefield of the Ancients
2026-08-20,20/08 ás 20:07,Tempest,Arqueira,Mirage,Psycho Slayer_CBA,Battlefield of the Ancients
2026-08-20,20/08 ás 20:48,SrVittar,Atalanta,Heretic Javelin,Undead Schemist_CBA,Battlefield of the Ancients
2026-08-20,20/08 ás 20:41,DarkFury,Lutador,Inferna,Armed Invader_CBA,Battlefield of the Ancients
2026-08-20,20/08 ás 20:37,midnightpurple,Arqueira,Defense Fragment (C),Undead Engineer_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 00:18,DarkFury,Lutador,Defense Gem (Lv.2),Undead Engineer,Secret Laboratory 2F
2026-08-21,21/08 ás 01:26,Secret,Shaman,Drop Gem (Lv.2),Undead Engineer,Secret Laboratory 2F
2026-08-21,21/08 ás 01:11,SrVittar,Atalanta,Eternal Robe,Sentinel,Secret Laboratory 2F
2026-08-21,21/08 ás 01:11,Secret,Shaman,Weapon Fragment (A),Sentinel,Secret Laboratory 2F
2026-08-21,21/08 ás 02:05,DarkFury,Lutador,Extreme Sword,Undead Engineer,Secret Laboratory 2F
2026-08-21,21/08 ás 02:01,DarkFury,Lutador,Extreme Sword,Undead Engineer,Secret Laboratory 2F
2026-08-21,21/08 ás 02:52,Tempest,Arqueira,HP Gem (Lv.2),Elite Soldier,Secret Laboratory
2026-08-21,21/08 ás 02:48,DarkFury,Lutador,Weapon Fragment (A),Armed Invader,Secret Laboratory
2026-08-21,21/08 ás 02:36,LekJhonson95,Cavaleiro,Defense Gem (Lv.2),Undead Engineer,Secret Laboratory
2026-08-21,21/08 ás 03:51,LekJhonson95,Cavaleiro,Mirage,Psycho Slayer,Secret Laboratory
2026-08-21,21/08 ás 03:43,LekJhonson95,Cavaleiro,Zecram Axe,Psycho Slayer,Secret Laboratory
2026-08-21,21/08 ás 03:36,DarkFury,Lutador,Inferna,Psycho Slayer,Secret Laboratory
2026-08-21,21/08 ás 03:31,SrVittar,Atalanta,Inferna,Armed Invader,Secret Laboratory
2026-08-21,21/08 ás 04:21,Tempest,Arqueira,Mirage,Elite Soldier,Secret Laboratory
2026-08-21,21/08 ás 04:15,midnightpurple,Arqueira,Inferna,Armed Invader,Secret Laboratory
2026-08-21,21/08 ás 04:44,midnightpurple,Arqueira,Weapon Fragment (C),Undead Schemist,Secret Laboratory
2026-08-21,21/08 ás 04:31,Tempest,Arqueira,Attack Power Gem (Lv.2),Undead Schemist,Secret Laboratory
2026-08-21,21/08 ás 05:26,DarkFury,Lutador,Inferna,Undead Engineer,Secret Laboratory
2026-08-21,21/08 ás 06:12,LekJhonson95,Cavaleiro,Bane Hammer,Deranged Technician,Secret Laboratory
2026-08-21,21/08 ás 06:56,DarkFury,Lutador,Reaper Scythe,Undead Engineer_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 06:42,SrVittar,Atalanta,Bane Hammer,Psycho Slayer_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 06:58,Secret,Shaman,Weapon Fragment (C),Armed Invader_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 07:45,Secret,Shaman,Defense Fragment (A),Psycho Slayer_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 07:45,DarkFury,Lutador,Attack Power Gem (Lv.2),Undead Engineer_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 07:44,DarkFury,Lutador,Damage Gem (Lv.2),Deranged Technician_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 08:24,Tempest,Arqueira,Defense Fragment (C),Elite Soldier_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 08:17,LekJhonson95,Cavaleiro,Ares Vambrace,Undead Schemist_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 08:14,SrVittar,Atalanta,Zecram Axe,Undead Engineer_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 08:06,DarkFury,Lutador,Celestial Staff,Undead Engineer_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 08:04,LekJhonson95,Cavaleiro,Phoenix Boots,Psycho Slayer_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 08:55,Tempest,Arqueira,Weapon Fragment (A),Undead Schemist_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 09:26,Tempest,Arqueira,Weapon Fragment (C),Deranged Technician_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 09:03,DarkFury,Lutador,Defense Fragment (B),Sentinel_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 10:00,Secret,Shaman,Frenzy Boots,Sentinel_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 09:54,Secret,Shaman,Weapon Fragment (A),Sentinel_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 09:52,Secret,Shaman,Mirage,Psycho Slayer_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 10:24,DarkFury,Lutador,Weapon Fragment (A),Undead Schemist_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 10:17,LekJhonson95,Cavaleiro,EXP Gem (Lv.2),Armed Invader_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 11:00,Tempest,Arqueira,Mirage,Psycho Slayer_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 10:55,LekJhonson95,Cavaleiro,Bellum,Undead Engineer_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 10:36,DarkFury,Lutador,Drop Gem (Lv.2),Psycho Slayer_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 11:05,SrVittar,Atalanta,Dreadnaught Shield,Undead Schemist_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 11:24,LekJhonson95,Cavaleiro,Eternal Robe,Sentinel_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 11:13,SrVittar,Atalanta,Weapon Fragment (B),Sentinel_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 11:32,Secret,Shaman,Weapon Fragment (A),Deranged Technician_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 11:30,LekJhonson95,Cavaleiro,Reaper Scythe,Psycho Slayer_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 12:18,midnightpurple,Arqueira,Weapon Fragment (A),Armed Invader_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 12:53,midnightpurple,Arqueira,Defense Fragment (B),Undead Schemist_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 12:48,DarkFury,Lutador,Damage Gem (Lv.2),Elite Soldier_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 13:21,SrVittar,Atalanta,Ares Vambrace,Undead Engineer_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 13:57,LekJhonson95,Cavaleiro,Inferna,Deranged Technician_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 13:45,Tempest,Arqueira,Reaper Scythe,Shadow Spider,Valley of Tranquility
2026-08-21,21/08 ás 14:05,Tempest,Arqueira,HP Gem (Lv.2),Cursed Tree,Valley of Tranquility
2026-08-21,21/08 ás 14:01,Tempest,Arqueira,Defense Gem (Lv.2),Corrupted Rat,Valley of Tranquility
2026-08-21,21/08 ás 14:26,Tempest,Arqueira,Defense Gem (Lv.2),Cursed Tree,Valley of Tranquility
2026-08-21,21/08 ás 14:17,SrVittar,Atalanta,Drop Gem (Lv.2),Undead Schemist_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 14:52,LekJhonson95,Cavaleiro,Ares Vambrace,Undead Schemist_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 14:48,Tempest,Arqueira,Gold Gem (Lv.2),Cursed Tree,Valley of Tranquility
2026-08-21,21/08 ás 14:47,LekJhonson95,Cavaleiro,Weapon Fragment (C),Undead Schemist_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 14:44,Tempest,Arqueira,Frenzy Boots,Shadow Spider,Valley of Tranquility
2026-08-21,21/08 ás 14:36,Secret,Shaman,Weapon Fragment (B),Elite Soldier_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 14:35,Secret,Shaman,Dragon Axe,Psycho Slayer_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 15:28,Tempest,Arqueira,Defense Gem (Lv.2),Shadow Spider,Valley of Tranquility
2026-08-21,21/08 ás 15:26,Tempest,Arqueira,HP Gem (Lv.2),Corrupted Rat,Valley of Tranquility
2026-08-21,21/08 ás 15:19,DarkFury,Lutador,Weapon Fragment (B),Shadow Spider,Valley of Tranquility
2026-08-21,21/08 ás 15:12,DarkFury,Lutador,Block Gem (Lv.2),Corrupted Rat,Valley of Tranquility
2026-08-21,21/08 ás 15:04,Tempest,Arqueira,Weapon Fragment (B),Stinger Hound,Valley of Tranquility
2026-08-21,21/08 ás 15:54,SrVittar,Atalanta,Weapon Fragment (C),Elite Soldier_CBA,Battlefield of the Ancients
2026-08-21,21/08 ás 15:33,DarkFury,Lutador,Damage Gem (Lv.2),Elder Figon,Valley of Tranquility
